osisRef,chrono_num,bookOrder,chapter.true,verse.true,verseText,handcoded.sentiment,deberta,deberta.hybrid
Deut.22.16,2,5,22,16,"And the damsel’s father shall say unto the elders, I gave my daughter unto this man to wife, and he hateth her;",NA,negative,negative
Deut.22.17,2,5,22,17,"And, lo, he hath given occasions of speech against her, saying, I found not thy daughter a maid; and yet these are the tokens of my daughter’s virginity. And they shall spread the cloth before the elders of the city.",negative,NA,negative
Deut.22.18,2,5,22,18,And the elders of that city shall take that man and chastise him;,NA,negative,negative
Deut.22.19,2,5,22,19,"And they shall amerce him in an hundred shekels of silver, and give them unto the father of the damsel, because he hath brought up an evil name upon a virgin of Israel: and she shall be his wife; he may not put her away all his days.",NA,negative,negative
Deut.24.18,2,5,24,18,"But thou shalt remember that thou wast a bondman in Egypt, and the LORD thy God redeemed thee thence: therefore I command thee to do this thing.",NA,positive,positive
Deut.24.19,2,5,24,19,"When thou cuttest down thine harvest in thy field, and hast forgot a sheaf in the field, thou shalt not go again to fetch it: it shall be for the stranger, for the fatherless, and for the widow: that the LORD thy God may bless thee in all the work of thine hands.",NA,negative,negative
Deut.24.20,2,5,24,20,"When thou beatest thine olive tree, thou shalt not go over the boughs again: it shall be for the stranger, for the fatherless, and for the widow.",NA,negative,negative
Deut.24.21,2,5,24,21,"When thou gatherest the grapes of thy vineyard, thou shalt not glean it afterward: it shall be for the stranger, for the fatherless, and for the widow.",positive,NA,positive
Deut.24.22,2,5,24,22,And thou shalt remember that thou wast a bondman in the land of Egypt: therefore I command thee to do this thing.,NA,neutral,neutral
Deut.25.6,2,5,25,6,"And it shall be, that the firstborn which she beareth shall succeed in the name of his brother which is dead, that his name be not put out of Israel.",NA,positive,positive
Deut.25.7,2,5,25,7,"And if the man like not to take his brother’s wife, then let his brother’s wife go up to the gate unto the elders, and say, My husband’s brother refuseth to raise up unto his brother a name in Israel, he will not perform the duty of my husband’s brother.",negative,NA,negative
Deut.25.8,2,5,25,8,"Then the elders of his city shall call him, and speak unto him: and if he stand to it, and say, I like not to take her;",neutral,NA,neutral
Deut.25.9,2,5,25,9,"Then shall his brother’s wife come unto him in the presence of the elders, and loose his shoe from off his foot, and spit in his face, and shall answer and say, So shall it be done unto that man that will not build up his brother’s house.",NA,negative,negative
Deut.25.10,2,5,25,10,"And his name shall be called in Israel, The house of him that hath his shoe loosed.",NA,positive,positive
Deut.25.14,2,5,25,14,"Thou shalt not have in thine house divers measures, a great and a small.",NA,negative,negative
Deut.25.15,2,5,25,15,"But thou shalt have a perfect and just weight, a perfect and just measure shalt thou have: that thy days may be lengthened in the land which the LORD thy God giveth thee.",positive,NA,positive
Deut.25.16,2,5,25,16,"For all that do such things, and all that do unrighteously, are an abomination unto the LORD thy God.",NA,negative,negative
Deut.27.1,2,5,27,1,"And Moses with the elders of Israel commanded the people, saying, Keep all the commandments which I command you this day.",NA,neutral,neutral
Deut.27.2,2,5,27,2,"And it shall be on the day when ye shall pass over Jordan unto the land which the LORD thy God giveth thee, that thou shalt set thee up great stones, and plaister them with plaister:",NA,positive,positive
Deut.28.49,2,5,28,49,"The LORD shall bring a nation against thee from far, from the end of the earth, as swift as the eagle flieth; a nation whose tongue thou shalt not understand;",NA,negative,negative
Deut.28.50,2,5,28,50,"A nation of fierce countenance, which shall not regard the person of the old, nor shew favour to the young:",negative,NA,negative
Deut.28.51,2,5,28,51,"And he shall eat the fruit of thy cattle, and the fruit of thy land, until thou be destroyed: which also shall not leave thee either corn, wine, or oil, or the increase of thy kine, or flocks of thy sheep, until he have destroyed thee.",NA,negative,negative
Deut.29.9,2,5,29,9,"Keep therefore the words of this covenant, and do them, that ye may prosper in all that ye do.",NA,positive,positive
Deut.29.10,2,5,29,10,"Ye stand this day all of you before the LORD your God; your captains of your tribes, your elders, and your officers, with all the men of Israel,",NA,positive,positive
Deut.29.11,2,5,29,11,"Your little ones, your wives, and thy stranger that is in thy camp, from the hewer of thy wood unto the drawer of thy water:",NA,positive,positive
Deut.30.17,2,5,30,17,"But if thine heart turn away, so that thou wilt not hear, but shalt be drawn away, and worship other gods, and serve them;",NA,negative,negative
Deut.30.18,2,5,30,18,"I denounce unto you this day, that ye shall surely perish, and that ye shall not prolong your days upon the land, whither thou passest over Jordan to go to possess it.",negative,NA,negative
Deut.30.19,2,5,30,19,"I call heaven and earth to record this day against you, that I have set before you life and death, blessing and cursing: therefore choose life, that both thou and thy seed may live:",NA,positive,positive
Deut.30.20,2,5,30,20,"That thou mayest love the LORD thy God, and that thou mayest obey his voice, and that thou mayest cleave unto him: for he is thy life, and the length of thy days: that thou mayest dwell in the land which the LORD sware unto thy fathers, to Abraham, to Isaac, and to Jacob, to give them.",positive,NA,positive
Deut.31.1,2,5,31,1,And Moses went and spake these words unto all Israel.,NA,neutral,neutral
Deut.31.2,2,5,31,2,"And he said unto them, I am an hundred and twenty years old this day; I can no more go out and come in: also the LORD hath said unto me, Thou shalt not go over this Jordan.",NA,negative,negative
Deut.31.3,2,5,31,3,"The LORD thy God, he will go over before thee, and he will destroy these nations from before thee, and thou shalt possess them: and Joshua, he shall go over before thee, as the LORD hath said.",NA,positive,positive
Deut.31.8,2,5,31,8,"And the LORD, he it is that doth go before thee; he will be with thee, he will not fail thee, neither forsake thee: fear not, neither be dismayed.",NA,positive,positive
Deut.31.9,2,5,31,9,"And Moses wrote this law, and delivered it unto the priests the sons of Levi, which bare the ark of the covenant of the LORD, and unto all the elders of Israel.",NA,neutral,neutral
Deut.31.10,2,5,31,10,"And Moses commanded them, saying, At the end of every seven years, in the solemnity of the year of release, in the feast of tabernacles,",NA,neutral,neutral
Deut.31.27,2,5,31,27,"For I know thy rebellion, and thy stiff neck: behold, while I am yet alive with you this day, ye have been rebellious against the LORD; and how much more after my death?",NA,negative,negative
Deut.31.28,2,5,31,28,"Gather unto me all the elders of your tribes, and your officers, that I may speak these words in their ears, and call heaven and earth to record against them.",NA,positive,positive
Deut.31.29,2,5,31,29,"For I know that after my death ye will utterly corrupt yourselves, and turn aside from the way which I have commanded you; and evil will befall you in the latter days; because ye will do evil in the sight of the LORD, to provoke him to anger through the work of your hands.",NA,negative,negative
Deut.32.6,2,5,32,6,"Do ye thus requite the LORD, O foolish people and unwise? is not he thy father that hath bought thee? hath he not made thee, and established thee?",NA,positive,positive
Deut.32.7,2,5,32,7,"Remember the days of old, consider the years of many generations: ask thy father, and he will shew thee; thy elders, and they will tell thee.",positive,NA,positive
Deut.32.8,2,5,32,8,"When the most High divided to the nations their inheritance, when he separated the sons of Adam, he set the bounds of the people according to the number of the children of Israel.",NA,positive,positive
Deut.32.46,2,5,32,46,"And he said unto them, Set your hearts unto all the words which I testify among you this day, which ye shall command your children to observe to do, all the words of this law.",NA,positive,positive
Deut.32.47,2,5,32,47,"For it is not a vain thing for you; because it is your life: and through this thing ye shall prolong your days in the land, whither ye go over Jordan to possess it.",NA,positive,positive
Deut.32.48,2,5,32,48,"And the LORD spake unto Moses that selfsame day, saying,",NA,neutral,neutral
Deut.34.6,2,5,34,6,"And he buried him in a valley in the land of Moab, over against Bethpeor: but no man knoweth of his sepulchre unto this day.",NA,negative,negative
Deut.34.7,2,5,34,7,"And Moses was an hundred and twenty years old when he died: his eye was not dim, nor his natural force abated.",positive,NA,positive
Deut.34.8,2,5,34,8,And the children of Israel wept for Moses in the plains of Moab thirty days: so the days of weeping and mourning for Moses were ended.,NA,negative,negative
Josh.6.20,2,6,6,20,"So the people shouted when the priests blew with the trumpets: and it came to pass, when the people heard the sound of the trumpet, and the people shouted with a great shout, that the wall fell down flat, so that the people went up into the city, every man straight before him, and they took the city.",NA,negative,negative
Josh.6.21,2,6,6,21,"And they utterly destroyed all that was in the city, both man and woman, young and old, and ox, and sheep, and ass, with the edge of the sword.",negative,NA,negative
Josh.6.22,2,6,6,22,"But Joshua had said unto the two men that had spied out the country, Go into the harlot’s house, and bring out thence the woman, and all that she hath, as ye sware unto her.",NA,neutral,neutral
Josh.7.5,2,6,7,5,"And the men of Ai smote of them about thirty and six men: for they chased them from before the gate even unto Shebarim, and smote them in the going down: wherefore the hearts of the people melted, and became as water.",NA,negative,negative
Josh.7.6,2,6,7,6,"And Joshua rent his clothes, and fell to the earth upon his face before the ark of the LORD until the eventide, he and the elders of Israel, and put dust upon their heads.",negative,NA,negative
Josh.7.7,2,6,7,7,"And Joshua said, Alas, O Lord GOD, wherefore hast thou at all brought this people over Jordan, to deliver us into the hand of the Amorites, to destroy us? would to God we had been content, and dwelt on the other side Jordan!",NA,negative,negative
Josh.8.9,2,6,8,9,"Joshua therefore sent them forth: and they went to lie in ambush, and abode between Bethel and Ai, on the west side of Ai: but Joshua lodged that night among the people.",NA,neutral,neutral
Josh.8.10,2,6,8,10,"And Joshua rose up early in the morning, and numbered the people, and went up, he and the elders of Israel, before the people to Ai.",NA,neutral,neutral
Josh.8.11,2,6,8,11,"And all the people, even the people of war that were with him, went up, and drew nigh, and came before the city, and pitched on the north side of Ai: now there was a valley between them and Ai.",NA,neutral,neutral
Josh.8.32,2,6,8,32,"And he wrote there upon the stones a copy of the law of Moses, which he wrote in the presence of the children of Israel.",NA,positive,positive
Josh.8.33,2,6,8,33,"And all Israel, and their elders, and officers, and their judges, stood on this side the ark and on that side before the priests the Levites, which bare the ark of the covenant of the LORD, as well the stranger, as he that was born among them; half of them over against mount Gerizim, and half of them over against mount Ebal; as Moses the servant of the LORD had commanded before, that they should bless the people of Israel.",NA,neutral,neutral
Josh.8.34,2,6,8,34,"And afterward he read all the words of the law, the blessings and cursings, according to all that is written in the book of the law.",NA,positive,positive
Josh.9.10,2,6,9,10,"And all that he did to the two kings of the Amorites, that were beyond Jordan, to Sihon king of Heshbon, and to Og king of Bashan, which was at Ashtaroth.",NA,neutral,neutral
Josh.9.11,2,6,9,11,"Wherefore our elders and all the inhabitants of our country spake to us, saying, Take victuals with you for the journey, and go to meet them, and say unto them, We are your servants: therefore now make ye a league with us.",NA,positive,positive
Josh.9.12,2,6,9,12,"This our bread we took hot for our provision out of our houses on the day we came forth to go unto you; but now, behold, it is dry, and it is mouldy:",NA,negative,negative
Josh.13.1,2,6,13,1,"Now Joshua was old and stricken in years; and the LORD said unto him, Thou art old and stricken in years, and there remaineth yet very much land to be possessed.",NA,positive,positive
Josh.13.2,2,6,13,2,"This is the land that yet remaineth: all the borders of the Philistines, and all Geshuri,",NA,neutral,neutral
Josh.14.6,2,6,14,6,"Then the children of Judah came unto Joshua in Gilgal: and Caleb the son of Jephunneh the Kenezite said unto him, Thou knowest the thing that the LORD said unto Moses the man of God concerning me and thee in Kadeshbarnea.",NA,neutral,neutral
Josh.14.7,2,6,14,7,Forty years old was I when Moses the servant of the LORD sent me from Kadeshbarnea to espy out the land; and I brought him word again as it was in mine heart.,NA,positive,positive
Josh.14.8,2,6,14,8,Nevertheless my brethren that went up with me made the heart of the people melt: but I wholly followed the LORD my God.,NA,positive,positive
Josh.14.9,2,6,14,9,"And Moses sware on that day, saying, Surely the land whereon thy feet have trodden shall be thine inheritance, and thy children’s for ever, because thou hast wholly followed the LORD my God.",NA,positive,positive
Josh.14.10,2,6,14,10,"And now, behold, the LORD hath kept me alive, as he said, these forty and five years, even since the LORD spake this word unto Moses, while the children of Israel wandered in the wilderness: and now, lo, I am this day fourscore and five years old.",NA,positive,positive
Josh.14.11,2,6,14,11,"As yet I am as strong this day as I was in the day that Moses sent me: as my strength was then, even so is my strength now, for war, both to go out, and to come in.",positive,NA,positive
Josh.14.12,2,6,14,12,"Now therefore give me this mountain, whereof the LORD spake in that day; for thou heardest in that day how the Anakims were there, and that the cities were great and fenced: if so be the LORD will be with me, then I shall be able to drive them out, as the LORD said.",NA,negative,negative
Josh.20.3,2,6,20,3,That the slayer that killeth any person unawares and unwittingly may flee thither: and they shall be your refuge from the avenger of blood.,NA,negative,negative
Josh.20.4,2,6,20,4,"And when he that doth flee unto one of those cities shall stand at the entering of the gate of the city, and shall declare his cause in the ears of the elders of that city, they shall take him into the city unto them, and give him a place, that he may dwell among them.",NA,neutral,neutral
Josh.20.5,2,6,20,5,"And if the avenger of blood pursue after him, then they shall not deliver the slayer up into his hand; because he smote his neighbour unwittingly, and hated him not beforetime.",NA,negative,negative
Josh.23.1,2,6,23,1,"And it came to pass a long time after that the LORD had given rest unto Israel from all their enemies round about, that Joshua waxed old and stricken in age.",NA,negative,negative
Josh.23.2,2,6,23,2,"And Joshua called for all Israel, and for their elders, and for their heads, and for their judges, and for their officers, and said unto them, I am old and stricken in age:",NA,positive,positive
Josh.23.3,2,6,23,3,And ye have seen all that the LORD your God hath done unto all these nations because of you; for the LORD your God is he that hath fought for you.,NA,positive,positive
Josh.24.1,2,6,24,1,"And Joshua gathered all the tribes of Israel to Shechem, and called for the elders of Israel, and for their heads, and for their judges, and for their officers; and they presented themselves before God.",NA,neutral,neutral
Josh.24.2,2,6,24,2,"And Joshua said unto all the people, Thus saith the LORD God of Israel, Your fathers dwelt on the other side of the flood in old time, even Terah, the father of Abraham, and the father of Nachor: and they served other gods.",NA,neutral,neutral
Josh.24.28,2,6,24,28,"So Joshua let the people depart, every man unto his inheritance.",NA,neutral,neutral
Josh.24.29,2,6,24,29,"And it came to pass after these things, that Joshua the son of Nun, the servant of the LORD, died, being an hundred and ten years old.",NA,neutral,neutral
Josh.24.30,2,6,24,30,"And they buried him in the border of his inheritance in Timnathserah, which is in mount Ephraim, on the north side of the hill of Gaash.",NA,neutral,neutral
Josh.24.31,2,6,24,31,"And Israel served the LORD all the days of Joshua, and all the days of the elders that overlived Joshua, and which had known all the works of the LORD, that he had done for Israel.",positive,NA,positive
Josh.24.32,2,6,24,32,"And the bones of Joseph, which the children of Israel brought up out of Egypt, buried they in Shechem, in a parcel of ground which Jacob bought of the sons of Hamor the father of Shechem for an hundred pieces of silver: and it became the inheritance of the children of Joseph.",NA,neutral,neutral
Judg.2.6,3,7,2,6,"And when Joshua had let the people go, the children of Israel went every man unto his inheritance to possess the land.",NA,neutral,neutral
Judg.2.7,3,7,2,7,"And the people served the LORD all the days of Joshua, and all the days of the elders that outlived Joshua, who had seen all the great works of the LORD, that he did for Israel.",positive,NA,positive
Judg.2.8,3,7,2,8,"And Joshua the son of Nun, the servant of the LORD, died, being an hundred and ten years old.",NA,neutral,neutral
Judg.2.9,3,7,2,9,"And they buried him in the border of his inheritance in Timnathheres, in the mount of Ephraim, on the north side of the hill Gaash.",NA,neutral,neutral
Judg.8.13,3,7,8,13,"And Gideon the son of Joash returned from battle before the sun was up,",NA,neutral,neutral
Judg.8.14,3,7,8,14,"And caught a young man of the men of Succoth, and enquired of him: and he described unto him the princes of Succoth, and the elders thereof, even threescore and seventeen men.",NA,positive,positive
Judg.8.15,3,7,8,15,"And he came unto the men of Succoth, and said, Behold Zebah and Zalmunna, with whom ye did upbraid me, saying, Are the hands of Zebah and Zalmunna now in thine hand, that we should give bread unto thy men that are weary?",NA,negative,negative
Judg.8.16,3,7,8,16,"And he took the elders of the city, and thorns of the wilderness and briers, and with them he taught the men of Succoth.",NA,negative,negative
Judg.8.17,3,7,8,17,"And he beat down the tower of Penuel, and slew the men of the city.",NA,negative,negative
Judg.8.31,3,7,8,31,"And his concubine that was in Shechem, she also bare him a son, whose name he called Abimelech.",NA,neutral,neutral
Judg.8.32,3,7,8,32,"And Gideon the son of Joash died in a good old age, and was buried in the sepulchre of Joash his father, in Ophrah of the Abiezrites.",neutral,NA,neutral
Judg.8.33,3,7,8,33,"And it came to pass, as soon as Gideon was dead, that the children of Israel turned again, and went a whoring after Baalim, and made Baalberith their god.",NA,negative,negative
Judg.11.4,3,7,11,4,"And it came to pass in process of time, that the children of Ammon made war against Israel.",NA,negative,negative
Judg.11.5,3,7,11,5,"And it was so, that when the children of Ammon made war against Israel, the elders of Gilead went to fetch Jephthah out of the land of Tob:",negative,NA,negative
Judg.11.6,3,7,11,6,"And they said unto Jephthah, Come, and be our captain, that we may fight with the children of Ammon.",NA,neutral,neutral
Judg.11.7,3,7,11,7,"And Jephthah said unto the elders of Gilead, Did not ye hate me, and expel me out of my father’s house? and why are ye come unto me now when ye are in distress?",negative,NA,negative
Judg.11.8,3,7,11,8,"And the elders of Gilead said unto Jephthah, Therefore we turn again to thee now, that thou mayest go with us, and fight against the children of Ammon, and be our head over all the inhabitants of Gilead.",neutral,NA,neutral
Judg.11.9,3,7,11,9,"And Jephthah said unto the elders of Gilead, If ye bring me home again to fight against the children of Ammon, and the LORD deliver them before me, shall I be your head?",NA,neutral,neutral
Judg.11.10,3,7,11,10,"And the elders of Gilead said unto Jephthah, The LORD be witness between us, if we do not so according to thy words.",NA,neutral,neutral
Judg.11.11,3,7,11,11,"Then Jephthah went with the elders of Gilead, and the people made him head and captain over them: and Jephthah uttered all his words before the LORD in Mizpeh.",NA,neutral,neutral
Judg.11.12,3,7,11,12,"And Jephthah sent messengers unto the king of the children of Ammon, saying, What hast thou to do with me, that thou art come against me to fight in my land?",NA,neutral,neutral
Judg.19.15,3,7,19,15,"And they turned aside thither, to go in and to lodge in Gibeah: and when he went in, he sat him down in a street of the city: for there was no man that took them into his house to lodging.",NA,neutral,neutral
Judg.19.16,3,7,19,16,"And, behold, there came an old man from his work out of the field at even, which was also of mount Ephraim; and he sojourned in Gibeah: but the men of the place were Benjamites.",neutral,NA,neutral
Judg.19.17,3,7,19,17,"And when he had lifted up his eyes, he saw a wayfaring man in the street of the city: and the old man said, Whither goest thou? and whence comest thou?",neutral,NA,neutral
Judg.19.18,3,7,19,18,"And he said unto him, We are passing from Bethlehemjudah toward the side of mount Ephraim; from thence am I: and I went to Bethlehemjudah, but I am now going to the house of the LORD; and there is no man that receiveth me to house.",NA,negative,negative
Judg.19.19,3,7,19,19,"Yet there is both straw and provender for our asses; and there is bread and wine also for me, and for thy handmaid, and for the young man which is with thy servants: there is no want of any thing.",NA,negative,negative
Judg.19.20,3,7,19,20,"And the old man said, Peace be with thee; howsoever let all thy wants lie upon me; only lodge not in the street.",NA,negative,negative
Judg.19.21,3,7,19,21,"So he brought him into his house, and gave provender unto the asses: and they washed their feet, and did eat and drink.",NA,negative,negative
Judg.19.22,3,7,19,22,"Now as they were making their hearts merry, behold, the men of the city, certain sons of Belial, beset the house round about, and beat at the door, and spake to the master of the house, the old man, saying, Bring forth the man that came into thine house, that we may know him.",NA,negative,negative
Judg.19.23,3,7,19,23,"And the man, the master of the house, went out unto them, and said unto them, Nay, my brethren, nay, I pray you, do not so wickedly; seeing that this man is come into mine house, do not this folly.",NA,negative,negative
Judg.21.15,3,7,21,15,"And the people repented them for Benjamin, because that the LORD had made a breach in the tribes of Israel.",NA,negative,negative
Judg.21.16,3,7,21,16,"Then the elders of the congregation said, How shall we do for wives for them that remain, seeing the women are destroyed out of Benjamin?",NA,negative,negative
Judg.21.17,3,7,21,17,"And they said, There must be an inheritance for them that be escaped of Benjamin, that a tribe be not destroyed out of Israel.",NA,negative,negative
Ruth.1.11,3,8,1,11,"And Naomi said, Turn again, my daughters: why will ye go with me? are there yet any more sons in my womb, that they may be your husbands?",NA,positive,positive
Ruth.1.12,3,8,1,12,"Turn again, my daughters, go your way; for I am too old to have an husband. If I should say, I have hope, if I should have an husband also to night, and should also bear sons;",NA,negative,negative
Ruth.1.13,3,8,1,13,"Would ye tarry for them till they were grown? would ye stay for them from having husbands? nay, my daughters; for it grieveth me much for your sakes that the hand of the LORD is gone out against me.",NA,negative,negative
Ruth.4.1,3,8,4,1,"Then went Boaz up to the gate, and sat him down there: and, behold, the kinsman of whom Boaz spake came by; unto whom he said, Ho, such a one! turn aside, sit down here. And he turned aside, and sat down.",NA,neutral,neutral
Ruth.4.2,3,8,4,2,"And he took ten men of the elders of the city, and said, Sit ye down here. And they sat down.",NA,neutral,neutral
Ruth.4.3,3,8,4,3,"And he said unto the kinsman, Naomi, that is come again out of the country of Moab, selleth a parcel of land, which was our brother Elimelech’s:",NA,neutral,neutral
Ruth.4.4,3,8,4,4,"And I thought to advertise thee, saying, Buy it before the inhabitants, and before the elders of my people. If thou wilt redeem it, redeem it: but if thou wilt not redeem it, then tell me, that I may know: for there is none to redeem it beside thee; and I am after thee. And he said, I will redeem it.",NA,negative,negative
Ruth.4.5,3,8,4,5,"Then said Boaz, What day thou buyest the field of the hand of Naomi, thou must buy it also of Ruth the Moabitess, the wife of the dead, to raise up the name of the dead upon his inheritance.",NA,neutral,neutral
Ruth.4.8,3,8,4,8,"Therefore the kinsman said unto Boaz, Buy it for thee. So he drew off his shoe.",NA,neutral,neutral
Ruth.4.9,3,8,4,9,"And Boaz said unto the elders, and unto all the people, Ye are witnesses this day, that I have bought all that was Elimelech’s, and all that was Chilion’s and Mahlon’s, of the hand of Naomi.",NA,neutral,neutral
Ruth.4.10,3,8,4,10,"Moreover Ruth the Moabitess, the wife of Mahlon, have I purchased to be my wife, to raise up the name of the dead upon his inheritance, that the name of the dead be not cut off from among his brethren, and from the gate of his place: ye are witnesses this day.",NA,negative,negative
Ruth.4.11,3,8,4,11,"And all the people that were in the gate, and the elders, said, We are witnesses. The LORD make the woman that is come into thine house like Rachel and like Leah, which two did build the house of Israel: and do thou worthily in Ephratah, and be famous in Bethlehem:",NA,positive,positive
Ruth.4.12,3,8,4,12,"And let thy house be like the house of Pharez, whom Tamar bare unto Judah, of the seed which the LORD shall give thee of this young woman.",NA,positive,positive
Ruth.4.14,3,8,4,14,"And the women said unto Naomi, Blessed be the LORD, which hath not left thee this day without a kinsman, that his name may be famous in Israel.",NA,positive,positive
Ruth.4.15,3,8,4,15,"And he shall be unto thee a restorer of thy life, and a nourisher of thine old age: for thy daughter in law, which loveth thee, which is better to thee than seven sons, hath born him.",positive,NA,positive
Ruth.4.16,3,8,4,16,"And Naomi took the child, and laid it in her bosom, and became nurse unto it.",NA,positive,positive
1Sam.2.21,3,9,2,21,"And the LORD visited Hannah, so that she conceived, and bare three sons and two daughters. And the child Samuel grew before the LORD.",NA,positive,positive
1Sam.2.22,3,9,2,22,"Now Eli was very old, and heard all that his sons did unto all Israel; and how they lay with the women that assembled at the door of the tabernacle of the congregation.",negative,NA,negative
1Sam.2.23,3,9,2,23,"And he said unto them, Why do ye such things? for I hear of your evil dealings by all this people.",NA,negative,negative
1Sam.2.30,3,9,2,30,"Wherefore the LORD God of Israel saith, I said indeed that thy house, and the house of thy father, should walk before me for ever: but now the LORD saith, Be it far from me; for them that honour me I will honour, and they that despise me shall be lightly esteemed.",NA,negative,negative
1Sam.2.31,3,9,2,31,"Behold, the days come, that I will cut off thine arm, and the arm of thy father’s house, that there shall not be an old man in thine house.",negative,NA,negative
1Sam.2.32,3,9,2,32,"And thou shalt see an enemy in my habitation, in all the wealth which God shall give Israel: and there shall not be an old man in thine house for ever.",NA,negative,negative
1Sam.2.33,3,9,2,33,"And the man of thine, whom I shall not cut off from mine altar, shall be to consume thine eyes, and to grieve thine heart: and all the increase of thine house shall die in the flower of their age.",NA,negative,negative
1Sam.2.34,3,9,2,34,"And this shall be a sign unto thee, that shall come upon thy two sons, on Hophni and Phinehas; in one day they shall die both of them.",NA,positive,positive
1Sam.3.1,3,9,3,1,And the child Samuel ministered unto the LORD before Eli. And the word of the LORD was precious in those days; there was no open vision.,NA,positive,positive
1Sam.3.2,3,9,3,2,"And it came to pass at that time, when Eli was laid down in his place, and his eyes began to wax dim, that he could not see;",negative,NA,negative
1Sam.3.3,3,9,3,3,"And ere the lamp of God went out in the temple of the LORD, where the ark of God was, and Samuel was laid down to sleep;",NA,negative,negative
1Sam.4.2,3,9,4,2,"And the Philistines put themselves in array against Israel: and when they joined battle, Israel was smitten before the Philistines: and they slew of the army in the field about four thousand men.",NA,negative,negative
1Sam.4.3,3,9,4,3,"And when the people were come into the camp, the elders of Israel said, Wherefore hath the LORD smitten us to day before the Philistines? Let us fetch the ark of the covenant of the LORD out of Shiloh unto us, that, when it cometh among us, it may save us out of the hand of our enemies.",neutral,NA,neutral
1Sam.4.4,3,9,4,4,"So the people sent to Shiloh, that they might bring from thence the ark of the covenant of the LORD of hosts, which dwelleth between the cherubims: and the two sons of Eli, Hophni and Phinehas, were there with the ark of the covenant of God.",NA,neutral,neutral
1Sam.4.14,3,9,4,14,"And when Eli heard the noise of the crying, he said, What meaneth the noise of this tumult? And the man came in hastily, and told Eli.",NA,negative,negative
1Sam.4.15,3,9,4,15,"Now Eli was ninety and eight years old; and his eyes were dim, that he could not see.",NA,negative,negative
1Sam.4.16,3,9,4,16,"And the man said unto Eli, I am he that came out of the army, and I fled to day out of the army. And he said, What is there done, my son?",NA,negative,negative
1Sam.4.17,3,9,4,17,"And the messenger answered and said, Israel is fled before the Philistines, and there hath been also a great slaughter among the people, and thy two sons also, Hophni and Phinehas, are dead, and the ark of God is taken.",NA,negative,negative
1Sam.4.18,3,9,4,18,"And it came to pass, when he made mention of the ark of God, that he fell from off the seat backward by the side of the gate, and his neck brake, and he died: for he was an old man, and heavy. And he had judged Israel forty years.",negative,NA,negative
1Sam.4.19,3,9,4,19,"And his daughter in law, Phinehas’ wife, was with child, near to be delivered: and when she heard the tidings that the ark of God was taken, and that her father in law and her husband were dead, she bowed herself and travailed; for her pains came upon her.",NA,negative,negative
1Sam.8.1,3,9,8,1,"And it came to pass, when Samuel was old, that he made his sons judges over Israel.",NA,positive,positive
1Sam.8.2,3,9,8,2,"Now the name of his firstborn was Joel; and the name of his second, Abiah: they were judges in Beersheba.",NA,neutral,neutral
1Sam.8.3,3,9,8,3,"And his sons walked not in his ways, but turned aside after lucre, and took bribes, and perverted judgment.",NA,negative,negative
1Sam.8.4,3,9,8,4,"Then all the elders of Israel gathered themselves together, and came to Samuel unto Ramah,",neutral,NA,neutral
1Sam.8.5,3,9,8,5,"And said unto him, Behold, thou art old, and thy sons walk not in thy ways: now make us a king to judge us like all the nations.",negative,NA,negative
1Sam.8.6,3,9,8,6,"But the thing displeased Samuel, when they said, Give us a king to judge us. And Samuel prayed unto the LORD.",NA,negative,negative
1Sam.11.2,3,9,11,2,"And Nahash the Ammonite answered them, On this condition will I make a covenant with you, that I may thrust out all your right eyes, and lay it for a reproach upon all Israel.",NA,negative,negative
1Sam.11.3,3,9,11,3,"And the elders of Jabesh said unto him, Give us seven days’ respite, that we may send messengers unto all the coasts of Israel: and then, if there be no man to save us, we will come out to thee.",NA,negative,negative
1Sam.11.4,3,9,11,4,"Then came the messengers to Gibeah of Saul, and told the tidings in the ears of the people: and all the people lifted up their voices, and wept.",NA,neutral,neutral
1Sam.12.1,3,9,12,1,"And Samuel said unto all Israel, Behold, I have hearkened unto your voice in all that ye said unto me, and have made a king over you.",NA,neutral,neutral
1Sam.12.2,3,9,12,2,"And now, behold, the king walketh before you: and I am old and grayheaded; and, behold, my sons are with you: and I have walked before you from my childhood unto this day.",positive,NA,positive
1Sam.12.3,3,9,12,3,"Behold, here I am: witness against me before the LORD, and before his anointed: whose ox have I taken? or whose ass have I taken? or whom have I defrauded? whom have I oppressed? or of whose hand have I received any bribe to blind mine eyes therewith? and I will restore it you.",NA,negative,negative
1Sam.15.29,3,9,15,29,"And also the Strength of Israel will not lie nor repent: for he is not a man, that he should repent.",NA,negative,negative
1Sam.15.30,3,9,15,30,"Then he said, I have sinned: yet honour me now, I pray thee, before the elders of my people, and before Israel, and turn again with me, that I may worship the LORD thy God.",NA,positive,positive
1Sam.15.31,3,9,15,31,So Samuel turned again after Saul; and Saul worshipped the LORD.,NA,neutral,neutral
1Sam.16.3,3,9,16,3,"And call Jesse to the sacrifice, and I will shew thee what thou shalt do: and thou shalt anoint unto me him whom I name unto thee.",NA,positive,positive
1Sam.16.4,3,9,16,4,"And Samuel did that which the LORD spake, and came to Bethlehem. And the elders of the town trembled at his coming, and said, Comest thou peaceably?",NA,neutral,neutral
